dataset,variant,score,auc,ci_low,ci_high,real_mean,ai_mean,mean_difference_ai_minus_real,cohens_d
CompEval,jpeg_q30,latent_anomaly,0.4703075,0.446230125,0.49528911249999996,0.001519280237145722,0.0014244170601596124,-9.486317698610951e-05,-0.08565212498926304
CompEval,jpeg_q30,combined_anomaly,0.44384100000000004,0.4191025,0.4688282,0.26666146434492966,0.11243993460957828,-0.15422152973535136,-0.159239783828912
CompEval,blur_sigma1,low_to_high_error,0.475267,0.45054029999999995,0.501062725,0.12595822198688983,0.11856533787027002,-0.007392884116619813,-0.1219947633675841
CompEval,blur_sigma1,high_to_low_error,0.480115,0.45460425000000004,0.5047133500000001,0.9587707791477442,0.9352700946629048,-0.02350068448483944,-0.08814835441765143
CompEval,blur_sigma1,reconstruction_error,0.478156,0.451883,0.502417125,0.5423645012378693,0.5269177173301578,-0.015446783907711481,-0.09789131182584061
CompEval,blur_sigma1,anomaly_full_low,0.5391670000000001,0.5123937875,0.5654809249999999,0.004264961898326874,0.004523903548717499,0.00025894165039062455,0.1275773873780568
CompEval,blur_sigma1,anomaly_full_high,0.5284960000000001,0.503147525,0.5540690125000001,0.0012941083908081055,0.0013244801759719849,3.03717851638794e-05,0.041201493416536936
CompEval,blur_sigma1,anomaly_low_high,0.5414589999999999,0.516143825,0.567835825,0.005271707892417907,0.005556329429149628,0.00028462153673172036,0.13311840425506624
CompEval,blur_sigma1,latent_anomaly,0.541114,0.5171018,0.5664404249999999,0.0036102594999829307,0.0038015711597399787,0.00019131165975704804,0.13451980013844428
CompEval,blur_sigma1,combined_anomaly,0.51877,0.49451985000000004,0.542219125,1.655096445460197,1.7380035476179685,0.08290710215777142,0.06160873273725783
CompEval,blur_sigma2,low_to_high_error,0.46734400000000004,0.44234452500000004,0.49421237500000004,0.05919973291829229,0.056827844459563494,-0.0023718884587287936,-0.15227893098295625
CompEval,blur_sigma2,high_to_low_error,0.530381,0.5057918375,0.55589195,1.3386020084917545,1.3787780002653598,0.04017599177360531,0.10961757761909757
CompEval,blur_sigma2,reconstruction_error,0.528205,0.50306435,0.5528166999999999,0.6989008691459894,0.7178029226958752,0.018902053549885833,0.10157951442130099
CompEval,blur_sigma2,anomaly_full_low,0.547838,0.523127075,0.5707331499999999,0.006463372826576233,0.006636985659599305,0.0001736128330230716,0.12053515259958368
CompEval,blur_sigma2,anomaly_full_high,0.5709175,0.5470913249999999,0.5940453,0.009395724058151245,0.009935318291187286,0.000539594233036041,0.24634992860229538
CompEval,blur_sigma2,anomaly_low_high,0.567453,0.5427219,0.5942303999999999,0.01988963532447815,0.020515825271606444,0.0006261899471282951,0.22252623312316516
CompEval,blur_sigma2,latent_anomaly,0.5754135,0.5495058,0.6015418499999999,0.011916244370862842,0.01236271005636081,0.0004464656854979692,0.2533669634938706
CompEval,blur_sigma2,combined_anomaly,0.580474,0.5541761999999999,0.6077378999999999,8.45579087225939,8.861932277215768,0.4061414049563776,0.3085403399406579
CompEval,blur2_jpeg30,low_to_high_error,0.445674,0.4196637999999999,0.4726494,0.040816381581127645,0.038499865276739,-0.002316516304388644,-0.199181259152676
CompEval,blur2_jpeg30,high_to_low_error,0.527711,0.502822475,0.55323495,1.2728203420042992,1.3071662121266128,0.034345870122313604,0.10045726623884516
CompEval,blur2_jpeg30,reconstruction_error,0.5257985000000001,0.5013941249999999,0.5507403000000001,0.6568183617591858,0.6728330394923687,0.01601467773318288,0.09316967046878465
CompEval,blur2_jpeg30,anomaly_full_low,0.47821549999999996,0.453784875,0.5047633,0.004610604107379913,0.00457216078042984,-3.84433269500729e-05,-0.027220046864476474
CompEval,blur2_jpeg30,anomaly_full_high,0.483077,0.459923625,0.507804875,0.0046332688331604,0.004460956692695617,-0.00017231214046478302,-0.135553623056766
CompEval,blur2_jpeg30,anomaly_low_high,0.44046300000000005,0.41472106249999996,0.466097675,0.009729920983314514,0.009159695446491242,-0.0005702255368232722,-0.22030759519163715
CompEval,blur2_jpeg30,latent_anomaly,0.4504675,0.424196175,0.475939775,0.006324598141014576,0.006064271138282493,-0.0002603270027320831,-0.17326013642885707
CompEval,blur2_jpeg30,combined_anomaly,0.46995100000000006,0.44412292499999995,0.4953118,4.1224860212714045,3.9903026590207253,-0.13218336225067917,-0.1352846061485288
